декларативне програмування, енергійні обчислення, функції першого порядку, стан пам’яті

функціональне програмування, чисті функції, каррінг, рекурсія, прозорість за посиланнями

послідовність виконання інструкцій, прозорість за посиланнями, ледачі обчислення, анонімні функції

взаємодія об’єктів, чисті функції, абстракція даних, побічний ефект

апплікативний порядок редукцій, строгі (strict) функції, каррінг, виклик за значенням

нормальний порядок редукцій, ледачі обчислення, структурне програмування, анонімні функції

функції вищого порядку, каррінг, функції першого порядку, SECD-машина

блок, стан пам’яті, побічний ефект, замикання

нормальний порядок редукцій, SECD-машина, послідовність виконання інструкцій, каррінг

енергійні обчислення, виклик за необхідністю, прозорість за посиланнями, каррінг

функції вищого порядку, анонімні функції, функції першого порядку, замикання

нормальний порядок редукцій, замикання, каррінг, апплікативний порядок редукцій

