var;1;2;3;4;5;6;7;8;9
1;1.2444444444444445;fFalse;error;650;12 5 2 1;R 10;R ['3', '4'];EE 6 E2 5;6 0 3 4 1 2 5
2;True;f-6;error;30407;error;R 4;R ['1', '1', 12, 13, 14];2 3;0 1 5 2 4 3 6
3;True;f-2;1;939;8 6 1 3;R -2 -2 1 1 4 4 7 7;R error;11 E2 13;1 3 5 0 6 2 4
4;36;fFalse;9;04185;10 0 6 8;R;R error;1 3;2 1 3 0 5 6 4
5;False;ffTrue;error;7False561;error;R;R error;2 3;4 1 0 3 2 5 6
6;True;ff-4;error;983;error;R 10;R [];1 2;5 0 1 2 3 4 6
7;False;ffFalse;4 3 46 8 7;7False108;12 7 4 5;R 2 2 0 0 -2 -2 -4 -4;R [15, 14];2 3;4 2 3 5 1 0 6
8;True;ff8;error;48096;10 5 0 1;R 15;R ['0', '1', '2', '3', '4', '12'];2 3;3 0 1 2 5 6 4
9;False;ffTrue;6;210;9 7 0 8;R -5 -5 -3 -3 -1 -1 1 1;R [10, 11, 12, 13, 14, 1, 0];2 3;5 0 3 6 1 2 4
10;False;f1;4;76428;4 3 2 0;R 0;R ['0', '1', '2', 1, 2, '3', '4'];11 E2 13;3 1 0 6 2 5 4
11;False;ff9;0 0 19 7 6;75318;error;R;R ['4'];2 1;3 0 6 1 2 5 4
12;-8;fTrue;1 2 57 6 8;6True486;error;R 7;R [10, 11, 12, 13, 14];16 1 13;3 4 0 1 2 6 5
13;False;f-9;3 4 46 7 8;40713;9 9 1 4;R;R 13 [10, 11, 12, 14];11 1 13;6 2 0 4 5 1 3
14;False;fFalse;8;249;11 2 1 2;R;R [10, 11, 12, 13, 14, '1', '0'];1 3;0 1 2 3 4 5 6
15;True;ffTrue;7;14error;10 2 9 2;R 2;R ['0', '1', '2', '3', [1, 2], '4'];14 E2 13;2 0 1 3 6 5 4
16;True;f1;3;83908;8 8 3 2;R 7;R ['0', '1', '2', '3', '4', 1, 0];14 1 13;6 1 0 3 2 5 4
17;True;ffFalse;error;9True432;3 4 0 9;R;R error;2 3;3 1 5 0 6 4 2
18;0;ff5;0;13error;16 2 7 4;R;R [10, 11, 12, 13];EE 4 1 4;3 2 1 4 0 5 6
19;True;ff-1;4;70530;10 6 9 4;R 6;R ['1', '2', '1', '2', '3', '4'];14 1 13;6 1 0 2 3 5 4
20;0.0;ffTrue;error;824;22 0 7 3;R;R ['0', '1', '2', '3', '4', '1', '0'];EE 4 1 4;6 1 4 0 3 2 5
21;False;fTrue;1 0 37 8 6;064;error;R 2;R ['0', '1', '2', '3', '4', [4, 5]];14 E2 13;1 3 0 4 2 5 6
