var;1;2;4;5;6;7;8;9;10
59;<class 'list'>;(27, 1) (26, 4) (63, 7) (50, 6) (44, 9);-7;6 3 8 2 5 10 0 1 4 9 7;1 7 9 6;4 0 2 1 3 6 5;0 1 5 3;1 3;4 2 6
60;<class 'dict'>;77 65 30 50;9;5 1 2 6 4 10 7 8 3 0 9 11;1 5 6;2 3 4 5;14 1 13;1 2;4 5 6
61;<class 'dict'>;(18, 0) (73, 2) (67, 2) (46, 9);3;8 4 9 3 5 7 2 10 1 0 6;2 3 4 8;2 3 6;17 2 13;0 ERR;4 2 6
62;<class 'list'>;1 9 3 1 4;-4;8 3 10 1 5 7 9 4 6 0 2;1 3 4 7 8;1 2 4 5 6;0 1 5 3;0 2 4 2 ERR;4 5 6
63;<class 'set'>;45 4 20 3 24 9 59 1;14;2 4 5 11 9 6 7 8 3 1 0 10;1 2 3 4 7;1 2 3;4 1 5 3;0 2 4 2 ERR;4 5 6
64;<class 'tuple'>;81 72 48 55;0;8 2 5 4 3 9 0 10 11 6 1 7;2 3 4 5 6 7 8 9;1 3 6;17 ERR 13;2 3;4 5 3
65;<class 'dict'>;42 3 55 3 54 8 70 7 39 5;-1;3 11 5 8 1 10 0 6 4 7 9 2;4 6 7 8 9;3 4 5 6;12 ERR 13;2 3;4 5 6
66;<class 'tuple'>;30 55 79 88;-8;10 4 1 5 9 3 2 7 0 6 11 8;2 6;2 3 4 5 6;0 4 5 3;0 ERR;4 5 3
67;<class 'dict'>;28 2 83 1 71 9 45 8 72 4;-6;7 10 4 3 1 0 5 2 8 6 9;4 5 6 7;1 3 5 6;0 1 5 3;0 2 4 2 ERR;4 5 6
68;<class 'set'>;60 54 15 42;-5;7 8 1 3 2 6 4 5 9 10 11 0;0 7 5 4 2;1 3 4 5;11 2 13;2 3;4 2 6
69;<class 'set'>;1 0 5;-6;4 7 11 1 10 2 3 9 0 6 5 8;0 3 6 7 8;6 0 3 5 1 4 2;17 1 13;1 2;4 5 6
70;<class 'dict'>;10 48 64 35 76;-5;7 3 10 6 4 5 8 0 9 2 1;2 3 4 6 7 9;1 2 3 4 6;0 4 5 3;1 3;4 5 6
71;<class 'tuple'>;62 9 88 9 78 9 47 2;7;3 4 6 1 7 9 10 11 2 0 5 8;1 2 4 6 8;2 5 6;0 1 5 3;0 2 4 2 ERR;4 2 6
72;<class 'list'>;(42, 6) (68, 2) (76, 0) (36, 1);3;10 1 3 0 8 5 9 6 4 7 2;1 2 8;1 2 3 5 6;14 ERR 13;0 ERR;4 5 6
