var;1;2;3;4;5;6;7;8;9;10;11
1;R ();R [12];4 8 5 8 7;;0 1 5 3;4 5 3;-10;10 9 6 1 7 3 8 2 4 0 5;2 4 6 7 9;1 3 5 0 6 2 4;2 5
2;R e;R ['0', '1', '2', '3', '4', '12'];52 2 42 8 21 9 69 1;;4 1 5 3;16 E2 13;9;3 6 9 4 7 10 0 8 2 1 5;0 6 7 8;1 0 2 4 3 5 6;1 3 4 5
3;R ();R [10, 11, 12, 13, 14, 1, 0];(46, 7) (28, 6) (88, 9) (14, 2);;0 1 5 3;14 E2 13;4;4 2 1 5 6 8 9 0 7 10 3;0 6 7 8;3 4 0 5 2 1 6;1 2 4 5 6
4;R d;R 2;38 40 48;;0 2 5 2 ERR;16 E2 13;-5;4 3 6 5 2 9 11 0 10 7 1 8;0 2 3 5 6;3 0 1 4 5 2 6;1 6
5;R 02468;R [1, 2];31 4 58 8 46 2 28 1 24 6;;0 5 ERR;4 5 6;1;2 8 4 7 10 3 9 1 0 6 5;3 5 7 8;6 0 3 4 1 2 5;1 3 4 5 6
6;R e;R ['0', '1', '2', '3', '4'];65 27 88 85 31;;4 1 5 3;EE 6 E2 5;0;5 11 4 10 7 0 1 8 6 9 3 2;3 4 6 9;1 0 2 6 3 4 5;1 2 4 5 6
7;R error;R error;21 6 59 5 31 7 70 9 67 2;;0 4 5 3;4 5 6;-9;2 0 6 4 5 8 10 7 3 9 1;1 2 3 4 5 9;3 4 6;2 3 6
8;R ['9', '6', '3', '0'];R [10, 11, 12, 13, 2, 3, 14];31 5 20 6 10 8 29 6 72 0;;0 1 5 3;14 E2 13;5;3 9 7 5 8 1 6 0 4 2 10;0 1 2 8;6 0 2 1 4 5 3;1 2 3 4 5
9;R 3;R ['0', '1', '2'];77 16 84 58;;0 4 5 3;16 E2 13;-4;11 1 2 7 8 5 3 4 0 6 10 9;0 3 4 6 7 9;2 4 5;2 3
10;R a;R ['0', 1, 0];(83, 7) (34, 6) (35, 9);;0 5 4 5 ERR;16 E2 13;-4;6 3 7 1 10 8 9 5 0 2 4;4 7;1 2 5 6;1 2 5 6
11;R e;R ['0', '1', '2', '3', '4', 2, 3];9 5 9 8;;0 2 5 2 ERR;4 5 6;-4;2 4 1 6 0 3 7 5 9 10 8;1 2 3 4 5 9;4 0 1 3 5 2 6;1 2 3 5 6
12;R error;R [10, [1, 2], 11, 12, 13, 14];87 26 34 59 46;;0 1 5 3;11 1 13;1;10 3 5 0 8 6 1 4 11 7 9 2;3 4 6;6 1 3 0 4 2 5;3 4 5 6
13;R a;R error;78 9 45 1 36 6 88 0;;0 5 ERR;4 2 6;11;3 2 0 4 5 9 8 1 7 6 10;0 1 4 5 9;1 2 3 4 5;2 5 6
14;R 2;R ['1', '0', 10, 11, 12, 13, 14];25 47 13 12;;0 1 5 3;14 E2 13;-12;9 2 1 11 6 7 0 10 3 4 5 8;None;1 2 3 4 6;4 6
15;R [9, 8, 7, 6, 5, 4, 3, 2, 1, 0];R [12, 13, 14];18 12 35 39;;4 1 5 3;14 E2 13;-3;3 1 0 8 10 9 7 5 6 4 2;3;1 2 3 4;3 4 5 6
16;R ();R ['0', '1'];30 1 71 2 10 6 37 4;;0 1 5 3;EE E1 E2 E3;4;7 4 3 10 9 2 8 6 0 5 1;3 4 5 8 9;1 2 5 6;1 2 3 5 6
17;R ('0', '3', '6');R 2 ['0', '1', '3', '4'];(55, 7) (84, 6) (38, 7) (58, 8);;0 4 5 3;16 E2 13;10;6 3 0 11 8 5 7 9 2 4 10 1;0 1 2 8 9;2 1 3 0 4 6 5;1 2 3 5 6
18;R [];R error;0 4 3;;4 1 5 3;14 1 13;4;8 3 1 2 11 4 5 9 10 7 0 6;3 8 9;1 0 3 4 2 5 6;1 4 5
