var;1;2;3;4;5;6;7;8;9;10
1;R a;R [11, 12, 13, 14];7 0 1 3;;0 5 4 5 ERR;4 5 3;-5;6 3 7 4 11 10 8 0 1 9 2 5;2 3 0 1 4 5 6;2 5 6
2;R error;R 2 ['0', '1', '3', '4'];38 6 26 4 74 4 13 7;;0 1 5 3;4 5 6;4;2 0 6 4 5 8 10 7 3 9 1;6 2 0 4 5 1 3;1 2
3;R (9, 6);R ['1', '1', '2', '3', '4'];(16, 9) (68, 8) (43, 9) (40, 5) (72, 0);;4 1 5 3;16 E2 13;8;6 10 8 11 9 4 3 5 1 0 2 7;3 0 2 1 4 6 5;2 3 5 6
4;R [8];R [10, 11, 12, 13, 14];15 53 29 34;;4 1 5 3;16 E2 13;-9;2 0 10 7 1 6 5 3 9 8 4 11;4 0 6 1 2 3 5;4 5
5;R c;R ['0', '1', '2', '3', '4', '1', '0'];65 8 62 8 79 9 15 7;;0 2 5 2 ERR;EE 4 1 4;-6;3 9 10 8 4 7 2 0 5 6 1 11;4 0 1 5 2 6 3;2 5
6;R e;R [10, 11, 12, 13, '1', '3'];69 22 52 65;;0 1 5 3;16 1 13;1;8 6 5 2 1 4 7 3 10 0 9;3 5 6;1 4 5
7;R error;R [];(48, 5) (21, 8) (39, 8) (14, 8);;0 1 5 3;EE 4 1 4;5;0 11 7 5 1 9 4 10 6 3 8 2;4 0 1 2 3 6 5;1 3 4 5 6
8;R ('8',);R [10, 11, 12, 13, '12', 14];10 2 24 6 37 8 77 1;;0 4 5 3;16 E2 13;5;7 11 6 8 5 2 3 4 10 9 1 0;4 2 3 5 1 0 6;2 3 4 5 6
9;R 1;R [10, 11, 12, 13, 14, 2, 3];5 5 1 8;;0 5 ERR;14 E2 13;-1;1 2 7 3 11 5 8 6 4 9 0 10;1 2 3 4 5;2 5 6
10;R e;R error;76 56 67;;0 5 5 5 2;16 E2 13;-7;3 7 8 5 0 9 11 2 6 4 10 1;2 3 5 6;1 2 6
11;R;R [10, 11, 12, 13, 14, '13'];55 7 41 1 68 7 52 9 17 2;;0 1 5 3;4 5 6;8;5 6 10 9 0 2 1 8 7 3 4;1 0 2 6 3 4 5;1 4 5 6
12;R b;R ['0', '1', '2', '1', '2', '3', '4'];11 88 40;;0 4 5 3;4 5 6;5;3 10 9 11 7 0 2 8 5 6 1 4;3 0 1 4 2 5 6;1 3 4 6
13;R [];R [4, 5, 10, 11, 12, 13, 14];85 79 29 18;;0 5 4 5 ERR;4 2 6;0;2 8 4 7 10 3 9 1 0 6 5;1 3 4 6;2 3 4 5 6
