var;1;2;3;4;5;6;7;8
1;<class 'dict'>;3 2 5 6;0 5 4 5 ERR;;-10;;2 0 1 9 8 5 6 7 10 4 3;1 2 3 4 6
2;<class 'list'>;87 47 88 33;0 1 5 3;;-6;;4 6 8 10 0 1 9 2 3 5 7;4 5
3;<class 'set'>;38 2 40 9 48 4;0 5 5 5 2;;-9;;5 10 6 9 0 11 4 3 2 8 1 7;2 3 4 6
4;<class 'dict'>;(52, 3) (48, 2) (73, 3) (41, 6) (43, 9);0 4 5 3;;6;;5 0 3 8 10 4 9 7 6 1 2;5 6
5;<class 'set'>;23 3 74 8 44 6 29 1;0 1 5 3;;12;;0 9 5 1 3 4 8 10 6 11 7 2;1 2 4 5 6
6;<class 'list'>;63 50 62;0 2 5 2 ERR;;-4;;2 9 1 0 8 5 4 3 6 7 10;1 4 6
7;<class 'dict'>;25 44 55;0 5 4 5 ERR;;7;;11 6 1 10 2 0 7 4 9 5 3 8;1 3 4 5 6
8;<class 'dict'>;23 9 24 6 48 8;0 5 4 5 ERR;;-6;;10 4 7 6 1 3 0 2 8 9 5;1 2 3 4 6
9;<class 'tuple'>;50 7 18 8 77 1 80 8 31 1;4 1 5 3;;-3;;7 11 10 8 9 3 0 4 6 5 2 1;1 2 3 6
10;<class 'list'>;77 81 83 70;0 5 5 5 2;;0;;3 2 0 4 5 9 8 1 7 6 10;4 5
11;<class 'dict'>;2 0 9 7;4 1 5 3;;9;;3 7 9 6 0 1 2 8 5 4 10;1 2 3 4 6
12;<class 'dict'>;(55, 2) (71, 2) (73, 8) (12, 4) (18, 8);0 2 5 2 ERR;;3;;10 9 6 1 7 3 8 2 4 0 5;2 4 5
13;<class 'tuple'>;0 7 2;0 1 5 3;;4;;10 7 1 11 9 4 6 8 2 0 3 5;2 3 4 5
14;<class 'set'>;77 16 84 58;0 4 5 3;;5;;1 3 10 5 4 9 7 2 8 6 0;2 6
15;<class 'list'>;72 6 84 1 73 7 28 4;0 5 4 5 ERR;;1;;8 9 4 2 7 10 6 5 0 3 1 11;1 2 4 5 6
16;<class 'dict'>;(31, 9) (41, 8) (10, 9) (40, 1) (83, 5);0 5 ERR;;-4;;7 8 0 1 11 9 5 4 10 6 3 2;2 5 6
17;<class 'set'>;38 63 45 82 18;0 5 5 5 2;;1;;6 10 8 11 9 4 3 5 1 0 2 7;1 3 5
18;<class 'set'>;50 3 70 4 87 2 36 2;0 1 5 3;;-2;;10 3 11 5 1 8 7 9 4 0 6 2;1 3 4 5 6
19;<class 'tuple'>;65 6 81 1 72 4;0 5 4 5 ERR;;-5;;2 0 8 6 3 7 4 10 9 5 1;1 2 6
20;<class 'dict'>;9 0 7 0 6 3;0 2 5 2 ERR;;5;;1 9 6 7 4 3 2 8 0 5 11 10;2 3 4 6
21;<class 'set'>;42 5 87 8 34 2;0 1 5 3;;2;;10 4 6 0 9 7 1 2 5 8 3 11;4 5 6
22;<class 'list'>;(76, 4) (56, 7) (67, 3);0 5 4 5 ERR;;-10;;0 4 5 10 6 7 9 2 8 1 3 11;2 3 5 6
23;<class 'set'>;36 85 68;0 5 5 5 2;;-1;;6 0 10 2 9 7 8 1 4 5 3;1 5 6
24;<class 'set'>;30 71 10 37;4 1 5 3;;-1;;0 6 7 1 2 5 9 8 10 3 4;2 4 6
25;<class 'dict'>;46 48 74 79;0 1 5 3;;-9;;2 8 1 0 3 10 7 4 6 9 5;1 2 5 6
26;<class 'dict'>;28 3 34 5 37 2 66 1;0 4 5 3;;0;;2 10 7 0 11 4 9 5 1 8 6 3;1 2 4 6
27;<class 'tuple'>;77 8 65 5 30 1 50 8;0 2 5 2 ERR;;-3;;11 0 3 2 5 9 8 4 6 1 7 10;1 2 5
28;<class 'dict'>;(34, 2) (21, 6) (67, 7) (68, 2) (24, 5);4 1 5 3;;-7;;0 9 8 3 10 5 6 2 7 4 1;1 2 3 4
29;<class 'list'>;5 9 7;0 1 5 3;;1;;4 6 8 11 9 7 3 10 5 2 0 1;1 5
30;<class 'dict'>;75 56 63 47 64;0 5 4 5 ERR;;5;;6 10 7 1 9 5 3 4 2 8 0;1 2 4 5 6
